Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
ca,legal basement apartment contractors,basement renovation,,,,,90,15,0.00,0.00,143,Informational,"Reviews, Video, Adwords Bottom, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Knowledge Panel","0.14,0.64,0.35,0.64,0.50,0.64,1.00,1.00,0.50,0.78,1.00,0.78",70,,
ca,basement renovation gta,basement renovation,,,,,70,45,0.00,0.68,127,Informational,"AI Overview, Site Links, Reviews, Video, People Also Ask, Related Searches, Discussions And Forums","0.11,0.11,0.23,0.29,0.23,0.17,0.29,0.82,0.82,1.00,1.00,0.64",20,,
ca,basement renovations nobleton,basement renovation,,,,,70,5,0.00,0.33,120,Informational,"Local Pack, Reviews, Video, People Also Ask, AI Overview","0.05,0.41,0.29,1.00,0.41,0.52,0.52,0.64,0.41,0.52,0.52,0.41",90,,
ca,basement bathroom renovations,basement renovation,,,,,70,10,5.44,0.36,196,Informational,"People Also Ask, Discussions And Forums, Local Pack, Image Pack, Reviews, Video, Video Carousel, Related Searches, AI Overview","0.18,0.63,0.63,0.63,0.63,1.00,0.63,0.81,1.00,0.63,0.63,0.81",90,,
ca,small basement renovations,basement renovation,,,,,50,32,4.04,0.15,178,Informational,"People Also Ask, Related Searches, Short Videos, Image Pack, Reviews, Video, Image, Video Carousel","0.63,0.81,0.45,0.81,0.81,0.27,0.36,0.45,0.27,0.45,0.27,0.27",90,,
ca,basement renovation before and after,basement renovation,,,,,90,30,2.61,0.08,128,Informational,"Video, Video Carousel, Related Searches, Image Pack, Site Links, Image, People Also Ask, Short Videos, AI Overview","0.41,0.41,0.41,0.64,0.52,0.52,0.41,0.52,0.41,0.52,0.41,0.23",20,,
ca,basement renovation steps,basement renovation,,,,,70,33,1.28,0.21,121,Informational,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Video","0.50,0.50,0.50,0.50,0.64,0.50,0.50,0.64,0.50,0.64,0.50,0.50",20,,
ca,permit to finish basement,basement renovation,,,,,70,12,1.40,0.06,137,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Video","0.07,0.07,0.07,0.07,0.42,0.42,0.07,0.42,0.42,0.42,0.42,0.26",20,,
ca,remodel a basement,basement renovation,,,,,50,28,5.78,0.29,162,Informational,"Video, Short Videos, Image Pack, Reviews, Video Carousel, People Also Ask, Related Searches, AI Overview, Local Pack","0.00,0.21,0.21,0.21,0.34,0.06,0.12,0.15,0.12,0.21,0.15,0.12",90,,
ca,basement renos before and after,basement renovation,,,,,90,24,2.61,0.08,110,Informational,"Image Pack, Site Links, Reviews, Video, Image, Video Carousel, Related Searches, AI Overview","0.50,0.50,0.50,1.00,0.78,0.50,0.50,0.64,0.50,0.64,0.50,0.28",20,,
ca,how much does a basement renovation cost,basement renovation,,,,,90,10,2.22,0.17,132,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Video","0.50,0.50,0.64,1.00,0.50,0.78,0.64,0.50,0.50,0.64,0.50,0.50",20,,
ca,finishing basements,basement renovation,,,,,70,26,4.85,0.30,193,Informational,"People Also Ask, Related Searches, Discussions And Forums, Local Pack, Site Links, Reviews, Video, Video Carousel","0.10,0.28,0.28,0.12,0.17,0.17,0.23,0.23,0.17,0.17,0.17,0.17",20,,
ca,basement renovations ideas,basement renovation,,,,,90,27,0.43,0.24,185,Informational,"AI Overview, Image Pack, Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches","0.23,0.35,0.28,0.28,0.23,0.17,0.23,0.23,0.23,0.28,0.23,0.23",90,,
ca,finished basement cost,basement renovation,,,,,90,24,3.19,0.27,87,"Informational, Commercial","Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, People Also Ask","0.17,1.00,0.52,0.82,0.64,0.64,1.00,0.64,0.41,0.41,0.29,0.41",20,,
ca,basement finish cost,basement renovation,,,,,50,22,3.19,0.27,185,"Informational, Commercial","Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Video","0.11,0.64,0.17,1.00,0.17,0.11,0.05,0.11,0.11,0.05,0.05,0.23",20,,
ca,basement remodel before and after,basement renovation,,,,,90,34,2.61,0.08,124,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Short Videos, Image Pack, Site Links","0.50,0.50,0.50,1.00,0.78,0.50,0.50,0.64,0.50,0.64,0.50,0.28",20,,
ca,home renovation courses toronto,basement renovation,,,,,90,23,0.69,0.52,116,Informational,"Knowledge Panel, Site Links, Video, Related Searches, Discussions And Forums","0.06,0.09,0.12,0.12,0.09,0.12,0.15,0.65,0.65,0.81,0.65,0.34",20,,
ca,interior renovation toronto,basement renovation,,,,,90,50,0.00,0.66,135,Informational,"Discussions And Forums, AI Overview, Local Pack, Reviews, Video, People Also Ask, Related Searches","0.00,0.35,1.00,1.00,0.50,0.64,0.64,0.78,1.00,1.00,0.78,0.78",90,,
ca,small basement renovation ideas,basement renovation,,,,,90,23,0.00,0.03,60,Informational,"Image, People Also Ask, Related Searches, Image Pack","0.03,0.18,0.11,0.23,0.15,0.08,0.08,0.11,0.18,0.23,0.11,0.08",90,,
ca,toronto full home renovation cost,basement renovation,,,,,90,4,0.00,0.86,116,Informational,"Site Links, Reviews, Video, People Also Ask, Related Searches","0.09,0.23,0.33,0.19,0.09,0.23,0.14,0.80,1.00,1.00,1.00,0.52",20,,
ca,toronto investment property renovations,basement renovation,,,,,90,5,0.00,0.00,132,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Reviews, Video","0.18,0.81,0.81,1.00,0.81,0.81,0.81,0.63",90,,
ca,apartment in basement,basement renovation,,,,,70,32,0.23,0.11,84300000,Informational,"AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.54,0.00",20,,
ca,basement remodel permits,basement renovation,,,,,70,15,1.40,0.06,141,Informational,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.18,0.18,0.18,0.18,1.00,1.00,0.18,1.00,1.00,1.00,1.00,0.63",20,,
ca,home renovation show toronto,basement renovation,,,,,70,15,0.00,0.10,107,"Informational, Transactional","Site Links, Reviews, Video, People Also Ask, Related Searches, Knowledge Panel","0.11,0.11,0.11,0.11,0.11,0.17,0.29,0.82,1.00,1.00,0.82,0.64",20,,
ca,home renovation workshops toronto,basement renovation,,,,,70,14,0.00,0.00,122,Informational,"Local Pack, Site Links, Video, People Also Ask, Related Searches, AI Overview","0.00,0.00,0.07,0.07,0.11,0.15,0.11,0.65,0.80,1.00,0.65,0.65",20,,
ca,ontario home remodeler,basement renovation,,,,,70,12,0.00,0.00,141,Informational,"Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Local Pack, Reviews","0.00,0.77,1.00,1.00,1.00,1.00",90,,
ca,ontario home remodelling,basement renovation,,,,,70,9,0.00,0.00,142,Informational,"Video, Related Searches, Discussions And Forums, AI Overview, Local Pack, Reviews","0.09,0.63,1.00,1.00,0.81,0.81",90,,
ca,renovate basement cost,basement renovation,,,,,70,17,2.51,0.15,135,Informational,"Short Videos, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.21,0.21,0.35,0.50,0.35,1.00,0.50,0.64,0.35,0.64,0.35,1.00",20,,
ca,toronto renovates,basement renovation,,,,,70,12,6.89,0.47,137,Informational,"Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.00,0.50,0.50,1.00,0.14,0.21,0.50,0.78,0.64,1.00,0.64,0.64",75,,
ca,basement suit,basement renovation,,,,,50,16,0.26,0.07,165,Informational,"Image Pack, Site Links, Reviews, Video, People Also Ask, Related Searches","0.23,0.14,1.00,0.14,0.19,0.14,0.14,0.23,0.09,0.14,0.09,0.14",20,,
ca,decorating basement apartment,basement renovation,,,,,50,22,0.42,0.27,188,Informational,"Image Pack, Site Links, Video, Image, Video Carousel, Related Searches","0.27,0.81,0.63,0.81,0.45,0.36,0.36,0.45,0.36,0.27,0.27,0.18",20,,
ca,exterior home renovations toronto,basement renovation,,,,,50,4,3.88,1.00,139,Informational,"Local Pack, Video, People Also Ask, Related Searches, AI Overview","0.14,0.50,1.00,1.00,0.50,0.64,0.21,0.14,0.14,0.14,0.14,0.21",90,,
ca,finishing the basement,basement renovation,,,,,50,25,6.45,0.35,103,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, Site Links, Reviews, Video","0.05,0.05,0.05,0.08,0.05,0.01,0.00,0.01,0.54,0.08,0.01,0.06",20,,
ca,basement floor layout,basement renovation,,,,,90,12,0.00,0.33,188,Informational,"People Also Ask, Related Searches, Image Pack, Reviews, Video, Image, Video Carousel","0.66,0.66,0.66,0.52,0.42,0.66,0.52,0.04,0.09,0.09,0.09,0.00",90,,
ca,basement idea,basement renovation,,,,,90,37,0.40,0.12,137,Informational,"Image Pack, Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches","0.65,0.34,0.42,0.53,0.26,0.42,0.26,0.42,0.19,0.34,0.15,0.07",75,,
ca,basement renovation cost calculator canada,basement renovation,,,,,90,5,1.18,0.42,116,Informational,"Site Links, Reviews, Video, People Also Ask, Related Searches, AI Overview","0.01,0.02,0.03,0.03,0.02,0.04,0.02,0.05,0.07,0.08,0.07,0.05",20,,
ca,basement renovation cost mississauga,basement renovation,,,,,90,8,0.00,0.05,122,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, People Also Ask","0.11,0.29,0.41,0.64,0.41,1.00,1.00,1.00,0.82,0.82,1.00,0.52",20,,
ca,basement shower,basement renovation,,,,,90,27,0.58,1.00,165,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.11,0.34,0.42,0.34,0.42,0.34,0.26,0.42,0.34,0.42,0.34,0.26",20,,
ca,steps to finishing a basement,basement renovation,,,,,90,30,1.15,0.21,127,Informational,"Reviews, Video, Video Carousel, People Also Ask, Discussions And Forums, AI Overview, Site Links","0.33,0.42,0.33,0.42,0.52,0.52,0.33,0.52,0.42,0.52,0.33,0.33",20,,
ca,basement apartment contractor,basement renovation,,,,,70,4,0.00,0.08,140,Informational,"AI Overview, Reviews, Video, People Also Ask, Related Searches","0.50,1.00,1.00,0.50,0.50,0.35,0.78,0.50,0.14,0.50,0.50,0.50",90,,
ca,small basement remodeling,basement renovation,,,,,70,35,4.04,0.15,200,Informational,"Related Searches, Image Pack, Reviews, Video, Image, Video Carousel, People Also Ask, Popular Products","0.23,0.33,0.09,1.00,0.52,0.09,0.14,0.09,0.14,0.42,0.14,0.09",90,,
ca,cost of finishing basement ontario,basement renovation,,,,,50,2,1.50,0.32,124,Informational,"Discussions And Forums, AI Overview, Site Links, Video, People Also Ask, Related Searches","0.44,1.00,1.00,1.00,0.77,0.55,0.55,0.77,0.44,0.55,0.33,0.33",20,,
ca,design basement,basement renovation,,,,,50,37,1.36,0.29,66,Informational,"Image, People Also Ask, Related Searches, Image Pack, Reviews","0.06,0.06,0.06,0.15,0.09,0.12,0.06,0.06,0.21,0.09,0.09,0.06",75,,
ca,how to finish basement,basement renovation,,,,,50,32,0.64,0.18,106,Informational,"AI Overview, Image Pack, Site Links, People Also Ask, Related Searches, Discussions And Forums, Reviews, Video, Video Carousel","0.35,0.35,0.64,0.50,0.28,0.50,0.35,0.50,0.35,0.35,0.21,0.21",20,,
ca,small basement reno ideas,basement renovation,,,,,50,31,1.06,0.06,192,Informational,"Image, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, Image Pack, Reviews, Video","0.06,0.21,0.12,0.21,0.09,0.12,0.15,0.12,0.34,0.28,0.21,0.12",90,,
ca,basement bathroom cost,basement renovation,,,,,90,7,1.68,0.51,185,"Informational, Commercial","Site Links, Reviews, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview","0.14,0.52,0.42,0.33,0.23,0.42,0.66,0.52,0.33,0.33,1.00,0.52",20,,
ca,basement room,basement renovation,,,,,90,40,0.00,0.01,187,Informational,"Discussions And Forums, Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches","0.52,0.66,0.42,0.52,0.33,0.42,0.33,0.52,0.33,0.52,0.52,0.52",75,,
ca,how to remodel bathroom,basement renovation,,,,,90,41,0.58,0.27,47800000,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask","0.00,0.01,0.01,0.02,0.03,0.02,0.00,0.02,0.02,0.02,0.88,1.00",20,,
ca,renovate washroom,basement renovation,,,,,90,33,2.95,0.54,184,Informational,"Related Searches, Knowledge Panel, Image Pack, Reviews, Video, Video Carousel, People Also Ask, Popular Products","0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.01,1.00,0.01",70,,
ca,bathroom remodel mistakes,basement renovation,,,,,70,37,0.00,0.33,186,Informational,"Reviews, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.18,0.18,0.18,1.00,1.00,1.00,1.00,1.00,0.18,0.18,0.18,0.18",90,,
ca,bathroom renovation mistakes,basement renovation,,,,,70,30,0.00,0.01,128,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview","0.18,0.27,0.36,1.00,1.00,1.00,1.00,1.00,0.36,0.45,0.63,0.36",90,,
ca,bathroom renovations blog,basement renovation,,,,,70,16,0.00,0.24,166,Informational,"Reviews, Video, Related Searches, AI Overview","0.22,0.77,0.77,0.55,1.00,0.77,0.77,0.77,0.77,1.00,1.00,0.44",90,,
ca,how finish a basement,basement renovation,,,,,70,32,0.64,0.18,65700000,Informational,"AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.41,0.52,0.41,0.41,0.29,0.41,0.64,0.64,0.64,0.29,0.41,0.29",20,,
ca,how finish basement,basement renovation,,,,,70,24,0.64,0.18,167,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, Site Links, Reviews, AI Overview, Image Pack, Video","0.41,0.52,0.41,0.41,0.29,0.41,0.64,0.64,0.64,0.29,0.41,0.29",20,,
ca,basement suite design ideas,basement renovation,,,,,50,27,0.56,0.07,186,Informational,"Video Carousel, Related Searches, Image Pack, Reviews, Video, Image","0.09,0.23,0.23,0.52,0.23,0.19,0.14,0.33,0.23,0.19,0.14,0.14",90,,
ca,bathroom remodel checklist,basement renovation,,,,,50,23,1.33,0.13,182,Informational,"Discussions And Forums, Image Pack, Site Links, Reviews, Video, Image, Video Carousel, Related Searches","0.26,0.26,0.15,0.11,0.07,0.07,0.07,0.07,0.07,0.26,0.42,0.34",20,,
ca,cost of renovating basement,basement renovation,,,,,50,12,2.51,0.15,136,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview, Site Links, Video","0.21,0.35,0.50,0.50,0.35,0.35,0.21,0.64,0.35,0.64,0.35,1.00",20,,
ca,modern bathroom renovation,basement renovation,,,,,50,51,2.04,0.95,194,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Reviews","0.09,0.27,0.36,0.36,0.63,0.63,1.00,0.81,0.45,0.36,0.18,0.18",90,,
ca,basement finished,basement renovation,,,,,70,41,3.96,0.30,133,Informational,"Reviews, People Also Ask, Related Searches, Short Videos, Video, Video Carousel, AI Overview, Image Pack, Site Links","0.19,0.11,0.80,0.26,0.15,0.11,0.07,0.07,1.00,0.19,0.07,0.19",20,,
ca,basement renovation costs,basement renovation,,,,,70,7,3.30,0.17,133,Informational,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.04,1.00,0.52,0.42,0.33,0.42,0.42,0.33,0.33,0.33,0.23,0.23",20,,
ca,basement renovation services toronto,basement renovation,,,,,70,42,22.14,0.45,121,Informational,"Local Pack, Reviews, Video, People Also Ask, Related Searches, Discussions And Forums, Adwords Middle, AI Overview","0.05,0.64,0.64,1.00,0.64,0.41,0.41,0.41,0.23,0.29,0.29,0.52",90,,
ca,basement to bedroom,basement renovation,,,,,70,30,0.00,0.11,164,Informational,"Image, People Also Ask, Short Videos, Image Pack, Site Links, Video, Video Carousel, Related Searches, AI Overview, Reviews","0.44,1.00,1.00,0.77,0.77,1.00,0.44,0.55,0.55,0.77,0.77,0.55",20,,
ca,basement finish ideas,basement renovation,,,,,50,37,0.38,0.18,195,Informational,"Image Pack, Image, Video Carousel, Short Videos, Discussions And Forums, AI Overview, Site Links, Video, People Also Ask, Related Searches","0.00,0.06,0.06,0.06,0.03,0.65,0.03,0.06,0.03,0.03,0.03,0.06",20,,
ca,basement ideas design,basement renovation,,,,,50,34,0.47,0.26,191,Informational,"People Also Ask, Related Searches, Image Pack, Reviews, Video, Image, Video Carousel","0.03,0.09,0.09,0.12,0.21,0.21,1.00,0.00,0.03,0.12,0.09,0.43",90,,
ca,basement renos ideas,basement renovation,,,,,50,33,0.43,0.24,193,Informational,"Related Searches, AI Overview, Image Pack, Reviews, Video, Image, Video Carousel, People Also Ask","0.00,0.57,0.71,1.00,0.71,0.71,1.00,0.71,0.71,0.71,0.57,0.42",90,,
ca,how to renovate a cellar,basement renovation,,,,,50,24,1.14,0.13,106,Informational,"Related Searches, Discussions And Forums, Site Links, Reviews, Video, Video Carousel, People Also Ask","0.18,0.18,0.18,1.00,0.18,0.18,0.18,1.00,1.00,1.00,0.18,0.18",20,,
ca,basement remodel steps,basement renovation,,,,,90,25,1.15,0.21,180,Informational,"Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.50,0.64,0.50,0.50,0.64,0.50,0.50,0.64,0.50,0.64,0.50,0.50",20,,
ca,basement renovation ideas for small basements,basement renovation,,,,,90,26,0.00,0.03,195,Informational,"Video Carousel, People Also Ask, Popular Products, Related Searches, AI Overview, Reviews, Video","0.06,0.28,0.21,0.53,0.34,0.15,0.15,0.21,0.34,0.43,0.21,0.15",90,,
ca,basement walkout construction,basement renovation,,,,,90,6,4.62,0.02,129,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview, Reviews","0.00,0.19,0.11,0.11,0.19,0.19,0.19,0.42,1.00,0.80,0.65,0.80",90,,
ca,basement washroom,basement renovation,,,,,90,24,2.01,0.41,181,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, Site Links, Reviews, Video","0.14,0.33,0.33,0.66,0.52,0.33,0.42,0.80,0.52,0.80,0.42,0.42",20,,
ca,bathroom in basement,basement renovation,,,,,90,18,2.01,0.41,164,Informational,"Related Searches, Discussions And Forums, Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask","0.06,0.18,0.14,0.29,0.18,0.18,0.22,0.18,0.29,0.29,0.29,0.29",20,,
ca,finished basement company,basement renovation,,,,,90,57,14.85,0.29,109,Informational,"Local Pack, Reviews, People Also Ask, Related Searches, AI Overview","0.06,0.15,0.21,1.00,0.34,0.21,0.15,0.28,0.21,0.28,0.21,0.21",90,,
ca,how much does it cost to finish a basement ontario,basement renovation,,,,,90,3,1.08,0.23,130,Informational,"AI Overview, Site Links, Reviews, Video, People Also Ask, Related Searches","0.05,0.14,0.14,0.14,0.11,0.09,0.07,0.09,0.09,0.09,0.07,0.05",20,,
ca,walkout basement construction,basement renovation,,,,,90,10,3.56,0.02,109,Informational,"Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview","0.02,0.05,0.05,0.15,0.15,0.15,0.15,0.15,0.36,0.19,0.19,0.19",20,,
ca,basement cost calculator,basement renovation,,,,,70,5,1.66,0.24,104,Informational,"AI Overview, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.07,0.26,0.34,0.42,0.11,0.26,0.26,0.34,0.19,0.26,0.19,0.26",90,,
ca,basement remodeling before and after,basement renovation,,,,,70,32,2.61,0.08,27600000,Informational,"Related Searches, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask","0.78,0.50,0.35,0.78,0.50,0.50,0.28,0.50,0.50,0.28,0.07,0.07",20,,
