volume,keyword_difficulty,cpc_usd,suggested_url,keyword,service_name,category,opportunity
480,7,10.56,/services/interior-waterproofing/,interior waterproofing toronto,Interior Waterproofing,Waterproofing,298.2
480,8,6.99,/services/water-line-replacement/,water line replacement,Water Line Replacement,Plumbing,186.4
480,5,2.98,/services/house-extension/,house extension,House Extension,Whole Home,95.4
480,15,4.72,/services/siding-replacement/,siding replacement,Siding Replacement,Exterior & Siding,90.6
480,25,4.96,/services/exterior-door-installation/,exterior door installation near me,Exterior Door Installation,Doors,68.0
480,16,3.68,/services/home-renovation/,home renovation near me,Home Renovation,Whole Home,67.9
480,6,1.91,/services/custom-millwork/,custom millwork,Custom Millwork,Trim & Millwork,57.3
390,11,7.45,/services/garage-door-installation/,garage door installation company,Garage Door Installation,Doors,138.4
390,19,5.63,/services/deck-building/,deck building contractors,Deck Building,Decks,75.7
390,15,2.97,/services/exterior-renovation/,exterior renovation,Exterior Renovation,Whole Home,46.3
390,27,2.90,/services/masonry-contractor/,masonry contractor toronto,Masonry Contractor,Concrete & Masonry,30.6
320,17,5.60,/services/home-remodeling/,home remodeling services,Home Remodeling,Whole Home,66.4
320,29,3.43,/services/bifold-door-installation/,bifold door installation,Bifold Door Installation,Doors,28.1
260,18,5.41,/services/condo-kitchen-renovation/,condo kitchen renovation toronto,Condo Kitchen Renovation,Kitchen,50.2
260,18,4.21,/services/renovation-contractor/,renovation contractor near me,Renovation Contractor,Whole Home,39.1
210,11,7.26,/services/siding-installation/,siding installation near me,Siding Installation,Exterior & Siding,72.6
210,14,5.15,/services/whole-home-renovation/,whole home renovation,Whole Home Renovation,Whole Home,45.1
210,24,3.63,/services/kitchen-cabinet-painting/,kitchen cabinet painting company,Kitchen Cabinet Painting,Kitchen,22.4
210,19,1.50,/services/custom-kitchen-cabinets/,custom kitchen cabinets near me,Custom Kitchen Cabinets,Kitchen,10.9
170,23,4.18,/services/hardwood-floor-installation/,hardwood floor installation toronto,Hardwood Floor Installation,Flooring,21.5
140,5,2.19,/services/laundry-room-renovation/,laundry room renovation contractors,Laundry Room Renovation,Specialty Rooms,20.4
140,15,3.06,/services/deck-replacement/,deck replacement,Deck Replacement,Decks,17.1
140,19,2.50,/services/garage-conversion/,garage conversion,Garage Conversion,Whole Home,12.1
110,5,3.51,/services/garage-renovation/,garage renovation contractors,Garage Renovation,Specialty Rooms,25.7
110,10,4.57,/services/foundation-crack-repair/,foundation crack repair near me,Foundation Crack Repair,Concrete & Masonry,25.1
90,29,3.38,/services/storm-door-installation/,storm door installation near me,Storm Door Installation,Doors,7.8
90,14,0.00,/services/open-concept-renovation/,open concept renovation,Open Concept Renovation,Whole Home,0.0
70,20,21.85,/services/sliding-door-installation/,sliding door installation near me,Sliding Door Installation,Doors,51.0
70,6,4.34,/services/bathroom-demolition/,bathroom demolition near me,Bathroom Demolition,Demolition & Prep,19.0
70,9,5.06,/services/shingle-replacement/,shingle replacement,Shingle Replacement,Roofing,18.6
70,7,4.21,/services/light-fixture-installation/,light fixture installation near me,Light Fixture Installation,Electrical,17.3
50,15,2.45,/services/backsplash-installation/,backsplash installation near me,Backsplash Installation,Kitchen,4.9
50,17,2.28,/services/kitchen-cabinet-installation/,kitchen cabinet installation company,Kitchen Cabinet Installation,Kitchen,4.2
