source,research_tier,priority,research_batch,keyword,keyword_type,intent,service_slug,service_name,tier,group,in_new_content_set,location,region,target_page_type,target_url,volume,keyword_difficulty,cpc_usd,in_semrush_export,database,seed_keyword,competitive_density,number_of_results,serp_features,trend,click_potential,page,topic,page_type,tags,content_references,competitors
renovation-keyword-list,A,1,1,condo renovation cost,cost,Informational,condo-renovations,Condo Renovations,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,condo renovations,head,Commercial,condo-renovations,Condo Renovations,tier-1,,no,,,service page,/services/condo-renovations.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does condo renovations cost,cost,Informational,condo-renovations,Condo Renovations,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,countertop installation,head,Commercial,countertop-installation,Countertop Installation,tier-4,,no,,,service page,/services/countertop-installation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,countertop installation cost,cost,Informational,countertop-installation,Countertop Installation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does countertop installation cost,cost,Informational,countertop-installation,Countertop Installation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,crown moulding,head,Commercial,crown-molding,Crown Molding,tier-3,,no,,,service page,/services/crown-molding.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,crown moulding cost,cost,Informational,crown-molding,Crown Molding,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does crown moulding cost,cost,Informational,crown-molding,Crown Molding,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,custom cabinetry,head,Commercial,custom-cabinetry,Custom Cabinetry,tier-4,,no,,,service page,/services/custom-cabinetry.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,custom cabinetry cost,cost,Informational,custom-cabinetry,Custom Cabinetry,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does custom cabinetry cost,cost,Informational,custom-cabinetry,Custom Cabinetry,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,custom door cost,cost,Informational,custom-doors,Custom Doors,tier-2,Doors,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,custom doors,head,Commercial,custom-doors,Custom Doors,tier-2,Doors,yes,,,service page,/services/custom-doors.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does custom doors cost,cost,Informational,custom-doors,Custom Doors,tier-2,Doors,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,deck building,head,Commercial,deck-building,Deck Building,tier-2,Decks,yes,,,service page,/services/deck-building.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,deck building cost,cost,Informational,deck-building,Deck Building,tier-2,Decks,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does deck building cost,cost,Informational,deck-building,Deck Building,tier-2,Decks,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,deck repair,head,Commercial,deck-repair,Deck Repair,tier-2,Decks,no,,,service page,/services/deck-repair.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,deck repair cost,cost,Informational,deck-repair,Deck Repair,tier-2,Decks,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does deck repair cost,cost,Informational,deck-repair,Deck Repair,tier-2,Decks,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,door replacement,head,Commercial,door-replacement,Door Replacement,tier-2,Doors,no,,,service page,/services/door-replacement.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,door replacement cost,cost,Informational,door-replacement,Door Replacement,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does door replacement cost,cost,Informational,door-replacement,Door Replacement,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,drywall repair,head,Commercial,drywall-installation-repair,Drywall Installation & Repair,tier-3,,no,,,service page,/services/drywall-installation-repair.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,drywall repair cost,cost,Informational,drywall-installation-repair,Drywall Installation & Repair,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does drywall repair cost,cost,Informational,drywall-installation-repair,Drywall Installation & Repair,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,exterior door installation,head,Commercial,exterior-door-installation,Exterior Door Installation,tier-2,Doors,no,,,service page,/services/exterior-door-installation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,exterior door installation cost,cost,Informational,exterior-door-installation,Exterior Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does exterior door installation cost,cost,Informational,exterior-door-installation,Exterior Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,exterior painting,head,Commercial,exterior-painting,Exterior Painting,tier-3,,no,,,service page,/services/exterior-painting.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,exterior painting cost,cost,Informational,exterior-painting,Exterior Painting,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does exterior painting cost,cost,Informational,exterior-painting,Exterior Painting,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,exterior renovation cost,cost,Informational,exterior-remodeling,Exterior Remodeling,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does exterior renovation cost,cost,Informational,exterior-remodeling,Exterior Remodeling,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,fence installation,head,Commercial,fence-installation,Fence Installation,tier-2,Fences,yes,,,service page,/services/fence-installation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,fence installation cost,cost,Informational,fence-installation,Fence Installation,tier-2,Fences,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does fence installation cost,cost,Informational,fence-installation,Fence Installation,tier-2,Fences,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,fence repair,head,Commercial,fence-repair,Fence Repair,tier-2,Fences,no,,,service page,/services/fence-repair.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,fence repair cost,cost,Informational,fence-repair,Fence Repair,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does fence repair cost,cost,Informational,fence-repair,Fence Repair,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,floor repair,head,Commercial,flooring-repair,Flooring Repair,tier-2,Flooring,no,,,service page,/services/flooring-repair.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,floor repair cost,cost,Informational,flooring-repair,Flooring Repair,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does floor repair cost,cost,Informational,flooring-repair,Flooring Repair,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,home renovation,head,Commercial,full-home-renovations,Full Home Renovations,tier-1,,no,,,service page,/services/full-home-renovations.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does home renovation cost,cost,Informational,full-home-renovations,Full Home Renovations,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,garage renovation,head,Commercial,garage-renovation,Garage Renovation,tier-4,,no,,,service page,/services/garage-renovation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does garage renovation cost,cost,Informational,garage-renovation,Garage Renovation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,hardwood flooring,head,Commercial,hardwood-flooring,Hardwood Flooring,tier-2,Flooring,no,,,service page,/services/hardwood-flooring.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,hardwood flooring cost,cost,Informational,hardwood-flooring,Hardwood Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does hardwood flooring cost,cost,Informational,hardwood-flooring,Hardwood Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,home additions,head,Commercial,home-additions,Home Additions,tier-1,,no,,,service page,/services/home-additions.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does home additions cost,cost,Informational,home-additions,Home Additions,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does interior door installation cost,cost,Informational,interior-door-installation,Interior Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,interior door installation,head,Commercial,interior-door-installation,Interior Door Installation,tier-2,Doors,no,,,service page,/services/interior-door-installation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,interior door installation cost,cost,Informational,interior-door-installation,Interior Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does interior renovation cost,cost,Informational,interior-remodeling,Interior Remodeling,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,interior renovation cost,cost,Informational,interior-remodeling,Interior Remodeling,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does kitchen renovations cost,cost,Informational,kitchen-renovations,Kitchen Renovations,tier-1,,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,kitchen renovations,head,Commercial,kitchen-renovations,Kitchen Renovations,tier-1,,yes,,,service page,/services/kitchen-renovations.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does laminate flooring cost,cost,Informational,laminate-flooring,Laminate Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,laminate flooring,head,Commercial,laminate-flooring,Laminate Flooring,tier-2,Flooring,no,,,service page,/services/laminate-flooring.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,laminate flooring cost,cost,Informational,laminate-flooring,Laminate Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does laundry room renovation cost,cost,Informational,laundry-room-renovation,Laundry Room Renovation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,laundry room renovation,head,Commercial,laundry-room-renovation,Laundry Room Renovation,tier-4,,no,,,service page,/services/laundry-room-renovation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,laundry room renovation cost,cost,Informational,laundry-room-renovation,Laundry Room Renovation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does painting cost,cost,Informational,painting,Painting,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,painting,head,Commercial,painting,Painting,tier-3,,no,,,service page,/services/painting.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,painting cost,cost,Informational,painting,Painting,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does patio door installation cost,cost,Informational,patio-door-installation,Patio Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,patio door installation,head,Commercial,patio-door-installation,Patio Door Installation,tier-2,Doors,no,,,service page,/services/patio-door-installation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,patio door installation cost,cost,Informational,patio-door-installation,Patio Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does porch renovation cost,cost,Informational,porch-renovation,Porch Renovation,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,porch renovation,head,Commercial,porch-renovation,Porch Renovation,tier-3,,no,,,service page,/services/porch-renovation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,porch renovation cost,cost,Informational,porch-renovation,Porch Renovation,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does privacy fence cost,cost,Informational,privacy-fences,Privacy Fences,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,privacy fence,head,Commercial,privacy-fences,Privacy Fences,tier-2,Fences,no,,,service page,/services/privacy-fences.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,privacy fence cost,cost,Informational,privacy-fences,Privacy Fences,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,1,how much does siding repair cost,cost,Informational,siding-repair,Siding Repair,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,siding repair,head,Commercial,siding-repair,Siding Repair,tier-3,,no,,,service page,/services/siding-repair.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,siding repair cost,cost,Informational,siding-repair,Siding Repair,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does sliding door installation cost,cost,Informational,sliding-door-installation,Sliding Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,sliding door installation,head,Commercial,sliding-door-installation,Sliding Door Installation,tier-2,Doors,no,,,service page,/services/sliding-door-installation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,sliding door installation cost,cost,Informational,sliding-door-installation,Sliding Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does stair renovation cost,cost,Informational,staircase-renovation,Staircase Renovation,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,stair renovation,head,Commercial,staircase-renovation,Staircase Renovation,tier-3,,no,,,service page,/services/staircase-renovation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,stair renovation cost,cost,Informational,staircase-renovation,Staircase Renovation,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does tile flooring cost,cost,Informational,tile-flooring,Tile Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,tile flooring,head,Commercial,tile-flooring,Tile Flooring,tier-2,Flooring,no,,,service page,/services/tile-flooring.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,tile flooring cost,cost,Informational,tile-flooring,Tile Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does tile installation cost,cost,Informational,tile-installation,Tile Installation,tier-3,,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,tile installation,head,Commercial,tile-installation,Tile Installation,tier-3,,yes,,,service page,/services/tile-installation.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,tile installation cost,cost,Informational,tile-installation,Tile Installation,tier-3,,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,baseboard installation,head,Commercial,trim-baseboards,Trim & Baseboards,tier-3,,no,,,service page,/services/trim-baseboards.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,baseboard installation cost,cost,Informational,trim-baseboards,Trim & Baseboards,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does baseboard installation cost,cost,Informational,trim-baseboards,Trim & Baseboards,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does vinyl fence cost,cost,Informational,vinyl-fences,Vinyl Fences,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,vinyl fence,head,Commercial,vinyl-fences,Vinyl Fences,tier-2,Fences,no,,,service page,/services/vinyl-fences.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,vinyl fence cost,cost,Informational,vinyl-fences,Vinyl Fences,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does vinyl plank flooring cost,cost,Informational,vinyl-flooring,Vinyl Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,vinyl plank flooring,head,Commercial,vinyl-flooring,Vinyl Flooring,tier-2,Flooring,no,,,service page,/services/vinyl-flooring.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,vinyl plank flooring cost,cost,Informational,vinyl-flooring,Vinyl Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does window replacement cost,cost,Informational,window-replacement,Window Replacement,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,window replacement,head,Commercial,window-replacement,Window Replacement,tier-4,,no,,,service page,/services/window-replacement.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,window replacement cost,cost,Informational,window-replacement,Window Replacement,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does wood deck cost,cost,Informational,wood-decks,Wood Decks,tier-2,Decks,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,wood deck,head,Commercial,wood-decks,Wood Decks,tier-2,Decks,no,,,service page,/services/wood-decks.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,wood deck cost,cost,Informational,wood-decks,Wood Decks,tier-2,Decks,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,how much does wood fence cost,cost,Informational,wood-fences,Wood Fences,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,wood fence,head,Commercial,wood-fences,Wood Fences,tier-2,Fences,no,,,service page,/services/wood-fences.html,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,1,2,wood fence cost,cost,Informational,wood-fences,Wood Fences,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,backsplash installation cost calculator,cost,Informational,backsplash-installation,Backsplash Installation,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,basement renovation cost calculator,cost,Informational,basement-renovations,Basement Renovations,tier-1,,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,bathroom renovation cost calculator,cost,Informational,bathroom-renovations,Bathroom Renovations,tier-1,,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,closet renovation cost calculator,cost,Informational,closet-renovation,Closet Renovation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,composite deck cost calculator,cost,Informational,composite-decks,Composite Decks,tier-2,Decks,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,condo renovation cost calculator,cost,Informational,condo-renovations,Condo Renovations,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,countertop installation cost calculator,cost,Informational,countertop-installation,Countertop Installation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,crown moulding cost calculator,cost,Informational,crown-molding,Crown Molding,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,custom cabinetry cost calculator,cost,Informational,custom-cabinetry,Custom Cabinetry,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,custom door cost calculator,cost,Informational,custom-doors,Custom Doors,tier-2,Doors,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,deck building cost calculator,cost,Informational,deck-building,Deck Building,tier-2,Decks,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,deck repair cost calculator,cost,Informational,deck-repair,Deck Repair,tier-2,Decks,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,door replacement cost calculator,cost,Informational,door-replacement,Door Replacement,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,drywall repair cost calculator,cost,Informational,drywall-installation-repair,Drywall Installation & Repair,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,exterior door installation cost calculator,cost,Informational,exterior-door-installation,Exterior Door Installation,tier-2,Doors,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,exterior painting cost calculator,cost,Informational,exterior-painting,Exterior Painting,tier-3,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,exterior renovation cost calculator,cost,Informational,exterior-remodeling,Exterior Remodeling,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,fence installation cost calculator,cost,Informational,fence-installation,Fence Installation,tier-2,Fences,yes,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,fence repair cost calculator,cost,Informational,fence-repair,Fence Repair,tier-2,Fences,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,floor repair cost calculator,cost,Informational,flooring-repair,Flooring Repair,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,home renovation cost calculator,cost,Informational,full-home-renovations,Full Home Renovations,tier-1,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,garage renovation cost calculator,cost,Informational,garage-renovation,Garage Renovation,tier-4,,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
renovation-keyword-list,A,3,2,hardwood flooring cost calculator,cost,Informational,hardwood-flooring,Hardwood Flooring,tier-2,Flooring,no,,,blog post,/blog/,,,,no,,,,,,,,,,,,,
