priority,research_batch,coverage_level,keyword,keyword_type,intent,service_slug,service_name,category,core_service,location,location_slug,location_tier,parent_municipality,region,page_strategy,suggested_url,volume,keyword_difficulty,cpc_usd,in_semrush_export
1,2,head,exterior renovation contractor,hiring,Commercial,exterior-renovation,Exterior Renovation,Whole Home,yes,,,,,,service page,/services/exterior-renovation/,,,,no
1,2,head,exterior renovation contractors,hiring,Commercial,exterior-renovation,Exterior Renovation,Whole Home,yes,,,,,,service page,/services/exterior-renovation/,,,,no
1,2,head,exterior renovation near me,near-me,Transactional,exterior-renovation,Exterior Renovation,Whole Home,yes,,,,,,service page,/services/exterior-renovation/,,,,no
1,2,head,exterior renovation toronto,anchor-city,Commercial,exterior-renovation,Exterior Renovation,Whole Home,yes,,,,,,service page,/services/exterior-renovation/,,,,no
1,2,head,fence contractor,head,Commercial,fence-contractor,Fence Contractor,Fences,yes,,,,,,service page,/services/fence-contractor/,,,,no
1,2,head,fence contractor near me,near-me,Transactional,fence-contractor,Fence Contractor,Fences,yes,,,,,,service page,/services/fence-contractor/,,,,no
1,2,head,fence contractor toronto,anchor-city,Commercial,fence-contractor,Fence Contractor,Fences,yes,,,,,,service page,/services/fence-contractor/,,,,no
1,2,head,fence installation,head,Commercial,fence-installation,Fence Installation,Fences,yes,,,,,,service page,/services/fence-installation/,,,,no
1,2,head,fence installation contractor,hiring,Commercial,fence-installation,Fence Installation,Fences,yes,,,,,,service page,/services/fence-installation/,,,,no
1,2,head,fence installation contractors,hiring,Commercial,fence-installation,Fence Installation,Fences,yes,,,,,,service page,/services/fence-installation/,,,,no
1,2,head,fence installation near me,near-me,Transactional,fence-installation,Fence Installation,Fences,yes,,,,,,service page,/services/fence-installation/,,,,no
1,2,head,fence installation toronto,anchor-city,Commercial,fence-installation,Fence Installation,Fences,yes,,,,,,service page,/services/fence-installation/,,,,no
1,2,head,fence repair,head,Commercial,fence-repair,Fence Repair,Fences,yes,,,,,,service page,/services/fence-repair/,,,,no
1,2,head,fence repair contractor,hiring,Commercial,fence-repair,Fence Repair,Fences,yes,,,,,,service page,/services/fence-repair/,,,,no
1,2,head,fence repair contractors,hiring,Commercial,fence-repair,Fence Repair,Fences,yes,,,,,,service page,/services/fence-repair/,,,,no
1,2,head,fence repair near me,near-me,Transactional,fence-repair,Fence Repair,Fences,yes,,,,,,service page,/services/fence-repair/,,,,no
1,2,head,fence repair toronto,anchor-city,Commercial,fence-repair,Fence Repair,Fences,yes,,,,,,service page,/services/fence-repair/,,,,no
1,2,head,flooring contractor,head,Commercial,flooring-contractor,Flooring Contractor,Flooring,yes,,,,,,service page,/services/flooring-contractor/,720,16,3.32,yes
1,2,head,flooring contractor near me,near-me,Transactional,flooring-contractor,Flooring Contractor,Flooring,yes,,,,,,service page,/services/flooring-contractor/,170,12,2.44,yes
1,2,head,flooring contractor toronto,anchor-city,Commercial,flooring-contractor,Flooring Contractor,Flooring,yes,,,,,,service page,/services/flooring-contractor/,,,,no
1,2,head,flooring installation,head,Commercial,flooring-installation,Flooring Installation,Flooring,yes,,,,,,service page,/services/flooring-installation/,1900,14,2.97,yes
1,2,head,flooring installation contractor,hiring,Commercial,flooring-installation,Flooring Installation,Flooring,yes,,,,,,service page,/services/flooring-installation/,,,,no
1,2,head,flooring installation contractors,hiring,Commercial,flooring-installation,Flooring Installation,Flooring,yes,,,,,,service page,/services/flooring-installation/,70,16,1.95,yes
1,2,head,flooring installation near me,near-me,Transactional,flooring-installation,Flooring Installation,Flooring,yes,,,,,,service page,/services/flooring-installation/,880,11,2.93,yes
1,2,head,flooring installation toronto,anchor-city,Commercial,flooring-installation,Flooring Installation,Flooring,yes,,,,,,service page,/services/flooring-installation/,390,19,4.21,yes
1,2,head,flooring replacement,head,Commercial,flooring-replacement,Flooring Replacement,Flooring,yes,,,,,,service page,/services/flooring-replacement/,,,,no
1,2,head,flooring replacement contractor,hiring,Commercial,flooring-replacement,Flooring Replacement,Flooring,yes,,,,,,service page,/services/flooring-replacement/,,,,no
1,2,head,flooring replacement contractors,hiring,Commercial,flooring-replacement,Flooring Replacement,Flooring,yes,,,,,,service page,/services/flooring-replacement/,,,,no
1,2,head,flooring replacement near me,near-me,Transactional,flooring-replacement,Flooring Replacement,Flooring,yes,,,,,,service page,/services/flooring-replacement/,,,,no
1,2,head,flooring replacement toronto,anchor-city,Commercial,flooring-replacement,Flooring Replacement,Flooring,yes,,,,,,service page,/services/flooring-replacement/,,,,no
1,2,head,foundation repair,head,Commercial,foundation-repair,Foundation Repair,Concrete & Masonry,yes,,,,,,service page,/services/foundation-repair/,,,,no
1,2,head,foundation repair contractor,hiring,Commercial,foundation-repair,Foundation Repair,Concrete & Masonry,yes,,,,,,service page,/services/foundation-repair/,,,,no
1,2,head,foundation repair contractors,hiring,Commercial,foundation-repair,Foundation Repair,Concrete & Masonry,yes,,,,,,service page,/services/foundation-repair/,,,,no
1,2,head,foundation repair near me,near-me,Transactional,foundation-repair,Foundation Repair,Concrete & Masonry,yes,,,,,,service page,/services/foundation-repair/,,,,no
1,2,head,foundation repair toronto,anchor-city,Commercial,foundation-repair,Foundation Repair,Concrete & Masonry,yes,,,,,,service page,/services/foundation-repair/,,,,no
1,2,head,general contractor,head,Commercial,general-contractor,General Contractor,Whole Home,yes,,,,,,service page,/services/general-contractor/,,,,no
1,2,head,general contractor near me,near-me,Transactional,general-contractor,General Contractor,Whole Home,yes,,,,,,service page,/services/general-contractor/,,,,no
1,2,head,general contractor toronto,anchor-city,Commercial,general-contractor,General Contractor,Whole Home,yes,,,,,,service page,/services/general-contractor/,,,,no
1,2,head,hardwood floor installation,head,Commercial,hardwood-floor-installation,Hardwood Floor Installation,Flooring,yes,,,,,,service page,/services/hardwood-floor-installation/,,,,no
1,2,head,hardwood floor installation contractor,hiring,Commercial,hardwood-floor-installation,Hardwood Floor Installation,Flooring,yes,,,,,,service page,/services/hardwood-floor-installation/,,,,no
1,2,head,hardwood floor installation contractors,hiring,Commercial,hardwood-floor-installation,Hardwood Floor Installation,Flooring,yes,,,,,,service page,/services/hardwood-floor-installation/,,,,no
1,2,head,hardwood floor installation near me,near-me,Transactional,hardwood-floor-installation,Hardwood Floor Installation,Flooring,yes,,,,,,service page,/services/hardwood-floor-installation/,140,25,1.63,yes
1,2,head,hardwood floor installation toronto,anchor-city,Commercial,hardwood-floor-installation,Hardwood Floor Installation,Flooring,yes,,,,,,service page,/services/hardwood-floor-installation/,170,23,4.18,yes
1,2,head,home addition,head,Commercial,home-addition,Home Addition,Whole Home,yes,,,,,,service page,/services/home-addition/,880,26,4.21,yes
1,2,head,home addition contractor,hiring,Commercial,home-addition,Home Addition,Whole Home,yes,,,,,,service page,/services/home-addition/,720,8,4.25,yes
1,2,head,home addition contractors,hiring,Commercial,home-addition,Home Addition,Whole Home,yes,,,,,,service page,/services/home-addition/,720,11,4.25,yes
1,2,head,home addition near me,near-me,Transactional,home-addition,Home Addition,Whole Home,yes,,,,,,service page,/services/home-addition/,,,,no
1,2,head,home addition toronto,anchor-city,Commercial,home-addition,Home Addition,Whole Home,yes,,,,,,service page,/services/home-addition/,880,16,4.87,yes
1,2,head,home renovation,head,Commercial,home-renovation,Home Renovation,Whole Home,yes,,,,,,service page,/services/home-renovation/,,,,no
1,2,head,home renovation contractor,hiring,Commercial,home-renovation,Home Renovation,Whole Home,yes,,,,,,service page,/services/home-renovation/,,,,no
1,2,head,home renovation contractors,hiring,Commercial,home-renovation,Home Renovation,Whole Home,yes,,,,,,service page,/services/home-renovation/,,,,no
1,2,head,home renovation near me,near-me,Transactional,home-renovation,Home Renovation,Whole Home,yes,,,,,,service page,/services/home-renovation/,480,16,3.68,yes
1,2,head,home renovation toronto,anchor-city,Commercial,home-renovation,Home Renovation,Whole Home,yes,,,,,,service page,/services/home-renovation/,,,,no
