priority_rank,opportunity_score,primary_keyword,landing_page_url,page_type,service_name,category,city,core_service,volume,kd,cpc_usd
27,319.9,bathroom renovation burlington,/services/bathroom-renovation-burlington/,new service+city page,Bathroom Renovation,Bathroom,Burlington,yes,880,7,6.18
28,316.8,window installation etobicoke,/services/window-installation-etobicoke/,new service+city page,Window Installation,Windows,Etobicoke,yes,480,12,14.52
29,313.8,wet basement repair,/services/wet-basement-repair/,service page,Wet Basement Repair,Waterproofing,,no,1600,29,7.65
30,311.2,basement renovation contractors,/services/basement-renovation/,service page,Basement Renovation,Basement,,yes,1300,21,7.42
31,310.3,basement renovation etobicoke,/services/basement-renovation-etobicoke/,new service+city page,Basement Renovation,Basement,Etobicoke,yes,390,8,14.32
32,298.2,interior waterproofing toronto,/services/interior-waterproofing/,service page,Interior Waterproofing,Waterproofing,,no,480,7,10.56
33,280.9,bathroom renovation vaughan,/services/bathroom-renovation-vaughan/,new service+city page,Bathroom Renovation,Bathroom,Vaughan,yes,1000,13,6.46
34,279.5,bathroom renovation ajax,/services/bathroom-renovation-ajax/,new service+city page,Bathroom Renovation,Bathroom,Ajax,yes,880,7,5.40
35,278.9,basement finishing,/services/basement-finishing/,service page,Basement Finishing,Basement,,yes,1600,27,6.45
36,273.4,door installation brampton,/services/door-installation-brampton/,new service+city page,Door Installation,Doors,Brampton,yes,480,15,14.24
37,254.8,bathroom renovation scarborough,/services/bathroom-renovation-scarborough/,new service+city page,Bathroom Renovation,Bathroom,Scarborough,yes,880,12,6.37
38,254.3,basement renovation whitby,/services/basement-renovation-whitby/,new service+city page,Basement Renovation,Basement,Whitby,yes,260,5,14.67
39,244.3,basement waterproofing brampton,/services/basement-waterproofing-brampton/,new service+city page,Basement Waterproofing,Waterproofing,Brampton,yes,480,11,10.69
40,235.1,flooring installation,/services/flooring-installation/,service page,Flooring Installation,Flooring,,yes,1900,14,2.97
41,221.5,window replacement markham,/services/window-replacement-markham/,new service+city page,Window Replacement,Windows,Markham,yes,480,16,12.00
42,215.2,door installation in toronto,/services/door-installation-toronto/,new service+city page,Door Installation,Doors,Toronto,yes,320,11,14.12
43,213.5,general contractor scarborough,/services/general-contractor-scarborough/,new service+city page,General Contractor,Whole Home,Scarborough,yes,590,11,7.60
44,211.2,window replacement etobicoke,/services/window-replacement-etobicoke/,new service+city page,Window Replacement,Windows,Etobicoke,yes,320,12,14.52
45,203.8,bathroom renovation whitby,/services/bathroom-renovation-whitby/,new service+city page,Bathroom Renovation,Bathroom,Whitby,yes,720,10,5.66
46,203.5,bathroom renovation etobicoke,/services/bathroom-renovation-etobicoke/,new service+city page,Bathroom Renovation,Bathroom,Etobicoke,yes,720,9,5.37
47,197.3,bathroom renovation brampton,/services/bathroom-renovation-brampton/,new service+city page,Bathroom Renovation,Bathroom,Brampton,yes,1000,12,4.34
48,194.0,bathroom remodeling contractors,/services/bathroom-remodeling/,service page,Bathroom Remodeling,Bathroom,,yes,1600,14,2.91
49,191.9,kitchen renovation near me,/services/kitchen-renovation/,service page,Kitchen Renovation,Kitchen,,yes,1300,15,3.69
50,186.4,water line replacement,/services/water-line-replacement/,service page,Water Line Replacement,Plumbing,,no,480,8,6.99
51,183.1,basement waterproofing north york,/services/basement-waterproofing-north-york/,new service+city page,Basement Waterproofing,Waterproofing,North York,yes,390,9,8.92
52,178.4,home renovation north york,/services/home-renovation-north-york/,new service+city page,Home Renovation,Whole Home,North York,yes,480,7,6.32
53,172.4,basement waterproofing markham,/services/basement-waterproofing-markham/,new service+city page,Basement Waterproofing,Waterproofing,Markham,yes,590,12,6.43
54,164.3,kitchen remodeling,/services/kitchen-remodeling/,service page,Kitchen Remodeling,Kitchen,,yes,1900,27,3.20
55,162.2,bathroom renovation oshawa,/services/bathroom-renovation-oshawa/,new service+city page,Bathroom Renovation,Bathroom,Oshawa,yes,720,13,5.18
56,145.3,kitchen renovation oakville,/services/kitchen-renovation-oakville/,new service+city page,Kitchen Renovation,Kitchen,Oakville,yes,590,14,5.91
57,138.4,garage door installation company,/services/garage-door-installation/,service page,Garage Door Installation,Doors,,no,390,11,7.45
58,137.4,basement waterproofing ajax,/services/basement-waterproofing-ajax/,new service+city page,Basement Waterproofing,Waterproofing,Ajax,yes,260,11,11.10
59,134.4,bathroom remodeling oakville,/services/bathroom-remodeling-oakville/,new service+city page,Bathroom Remodeling,Bathroom,Oakville,yes,480,12,6.16
60,133.9,home renovation newmarket,/services/home-renovation-newmarket/,new service+city page,Home Renovation,Whole Home,Newmarket,yes,480,8,5.02
61,123.4,condo renovation,/services/condo-renovation/,service page,Condo Renovation,Whole Home,,yes,590,12,4.60
62,118.9,bathroom renovation north york,/services/bathroom-renovation-north-york/,new service+city page,Bathroom Renovation,Bathroom,North York,yes,260,5,6.86
63,113.1,door repair etobicoke,/services/door-repair-etobicoke/,new service+city page,Door Repair,Doors,Etobicoke,yes,210,5,8.08
64,112.4,bathroom renovation contractor pickering,/services/bathroom-renovation-pickering/,new service+city page,Bathroom Renovation,Bathroom,Pickering,yes,320,7,5.97
65,111.8,kitchen renovation vaughan,/services/kitchen-renovation-vaughan/,new service+city page,Kitchen Renovation,Kitchen,Vaughan,yes,480,14,5.59
66,108.3,deck builder toronto,/services/deck-builder/,service page,Deck Builder,Decks,,yes,590,21,5.69
67,107.2,deck builder markham,/services/deck-builder-markham/,new service+city page,Deck Builder,Decks,Markham,yes,260,8,7.42
68,104.8,kitchen remodeling oakville,/services/kitchen-remodeling-oakville/,new service+city page,Kitchen Remodeling,Kitchen,Oakville,yes,390,12,5.91
69,102.6,door replacement in toronto,/services/door-replacement-toronto/,new service+city page,Door Replacement,Doors,Toronto,yes,90,10,22.79
70,99.2,custom doors,/services/custom-doors/,service page,Custom Doors,Doors,,yes,720,17,3.72
71,98.9,interior renovation,/services/interior-renovation/,service page,Interior Renovation,Whole Home,,yes,590,11,3.52
72,98.1,kitchen cabinet refacing near me,/services/kitchen-cabinet-refacing/,service page,Kitchen Cabinet Refacing,Kitchen,,no,1000,17,2.65
73,95.4,house extension,/services/house-extension/,service page,House Extension,Whole Home,,yes,480,5,2.98
74,92.6,bathroom remodeling brampton,/services/bathroom-remodeling-brampton/,new service+city page,Bathroom Remodeling,Bathroom,Brampton,yes,320,5,4.34
75,91.9,flooring contractor,/services/flooring-contractor/,service page,Flooring Contractor,Flooring,,yes,720,16,3.32
76,90.8,deck repair,/services/deck-repair/,service page,Deck Repair,Decks,,yes,720,13,2.90
77,83.9,toronto window installation,/services/window-installation-toronto/,new service+city page,Window Installation,Windows,Toronto,yes,140,24,20.38
78,75.7,deck building contractors,/services/deck-building/,service page,Deck Building,Decks,,yes,390,19,5.63
79,73.1,general contractor richmond hill,/services/general-contractor-richmond-hill/,new service+city page,General Contractor,Whole Home,Richmond Hill,yes,320,10,4.57
80,73.0,toronto home additions,/services/home-addition-toronto/,new service+city page,Home Addition,Whole Home,Toronto,yes,390,16,4.87
81,72.9,kitchen renovation scarborough,/services/kitchen-renovation-scarborough/,new service+city page,Kitchen Renovation,Kitchen,Scarborough,yes,320,9,4.33
82,70.5,general contractor north york,/services/general-contractor-north-york/,new service+city page,General Contractor,Whole Home,North York,yes,480,19,4.26
83,67.9,home renovation near me,/services/home-renovation/,service page,Home Renovation,Whole Home,,yes,480,16,3.68
84,66.4,home remodeling services,/services/home-remodeling/,service page,Home Remodeling,Whole Home,,no,320,17,5.60
85,65.0,basement waterproofing companies,/services/basement-waterproofing/,service page,Basement Waterproofing,Waterproofing,,yes,260,13,5.75
86,64.4,door replacement brampton,/services/door-replacement-brampton/,new service+city page,Door Replacement,Doors,Brampton,yes,70,9,17.47
87,63.5,deck builder richmond hill,/services/deck-builder-richmond-hill/,new service+city page,Deck Builder,Decks,Richmond Hill,yes,140,8,8.16
88,58.7,general contractor markham,/services/general-contractor-markham/,new service+city page,General Contractor,Whole Home,Markham,yes,320,13,4.22
89,57.9,countertop installation,/services/countertop-installation/,service page,Countertop Installation,Kitchen,,yes,1000,29,2.26
90,54.7,interior door installation near me,/services/interior-door-installation/,service page,Interior Door Installation,Doors,,yes,590,20,2.78
91,54.2,toronto bathroom renovation,/services/bathroom-renovation-toronto/,new service+city page,Bathroom Renovation,Bathroom,Toronto,yes,320,20,5.08
92,52.5,cabinet painting company,/services/cabinet-painting/,service page,Cabinet Painting,Painting,,no,260,16,5.25
93,51.0,bathroom remodeling richmond hill,/services/bathroom-remodeling-richmond-hill/,new service+city page,Bathroom Remodeling,Bathroom,Richmond Hill,yes,170,10,6.00
94,51.0,sliding door installation near me,/services/sliding-door-installation/,service page,Sliding Door Installation,Doors,,no,70,20,21.85
95,50.2,condo kitchen renovation toronto,/services/condo-kitchen-renovation/,service page,Condo Kitchen Renovation,Kitchen,,no,260,18,5.41
96,50.0,kitchen renovation etobicoke,/services/kitchen-renovation-etobicoke/,new service+city page,Kitchen Renovation,Kitchen,Etobicoke,yes,140,6,5.71
97,49.8,kitchen renovation newmarket,/services/kitchen-renovation-newmarket/,new service+city page,Kitchen Renovation,Kitchen,Newmarket,yes,140,6,5.69
98,47.2,kitchen renovation contractor richmond hill,/services/kitchen-renovation-richmond-hill/,new service+city page,Kitchen Renovation,Kitchen,Richmond Hill,yes,170,10,5.55
99,47.1,kitchen renovation oshawa,/services/kitchen-renovation-oshawa/,new service+city page,Kitchen Renovation,Kitchen,Oshawa,yes,260,19,5.25
100,46.9,granite countertop installation,/services/granite-countertop-installation/,service page,Granite Countertop Installation,Kitchen,,no,590,27,2.94
101,46.3,exterior renovation,/services/exterior-renovation/,service page,Exterior Renovation,Whole Home,,yes,390,15,2.97
102,45.1,whole home renovation,/services/whole-home-renovation/,service page,Whole Home Renovation,Whole Home,,yes,210,14,5.15
103,43.4,bathroom remodeling vaughan,/services/bathroom-remodeling-vaughan/,new service+city page,Bathroom Remodeling,Bathroom,Vaughan,yes,110,7,6.70
104,40.7,bathroom remodeling aurora,/services/bathroom-remodeling-aurora/,new service+city page,Bathroom Remodeling,Bathroom,Aurora,yes,90,8,8.13
105,39.1,renovation contractor near me,/services/renovation-contractor/,service page,Renovation Contractor,Whole Home,,yes,260,18,4.21
106,37.2,custom cabinetry,/services/custom-cabinetry/,service page,Custom Cabinetry,Cabinetry & Storage,,yes,590,30,2.52
107,36.9,condo renovation in toronto,/services/condo-renovation-toronto/,new service+city page,Condo Renovation,Whole Home,Toronto,yes,210,17,4.75
108,33.3,toronto bathroom remodeling,/services/bathroom-remodeling-toronto/,new service+city page,Bathroom Remodeling,Bathroom,Toronto,yes,210,22,5.08
109,32.3,basement window replacement near me,/services/basement-window-replacement/,service page,Basement Window Replacement,Windows,,no,110,17,7.93
110,31.8,bathroom remodeling newmarket,/services/bathroom-remodeling-newmarket/,new service+city page,Bathroom Remodeling,Bathroom,Newmarket,yes,90,15,8.82
111,30.7,custom doors brampton,/services/custom-doors-brampton/,new service+city page,Custom Doors,Doors,Brampton,yes,90,15,8.53
112,30.0,bathroom remodeling scarborough,/services/bathroom-remodeling-scarborough/,new service+city page,Bathroom Remodeling,Bathroom,Scarborough,yes,110,13,6.27
113,28.7,deck builder brampton,/services/deck-builder-brampton/,new service+city page,Deck Builder,Decks,Brampton,yes,170,20,5.06
114,28.6,renovation contractor mississauga,/services/renovation-contractor-mississauga/,new service+city page,Renovation Contractor,Whole Home,Mississauga,yes,140,18,5.71
115,28.1,bifold door installation,/services/bifold-door-installation/,service page,Bifold Door Installation,Doors,,no,320,29,3.43
116,27.0,etobicoke garage door repair,/services/garage-door-repair-etobicoke/,new service+city page,Garage Door Repair,Doors,Etobicoke,yes,70,8,6.94
117,25.9,deck builder oakville,/services/deck-builder-oakville/,new service+city page,Deck Builder,Decks,Oakville,yes,140,16,4.81
118,25.7,garage renovation contractors,/services/garage-renovation/,service page,Garage Renovation,Specialty Rooms,,no,110,5,3.51
119,24.0,home renovation contractors mississauga,/services/home-renovation-mississauga/,new service+city page,Home Renovation,Whole Home,Mississauga,yes,140,19,4.98
120,22.9,bathroom remodeling markham,/services/bathroom-remodeling-markham/,new service+city page,Bathroom Remodeling,Bathroom,Markham,yes,90,9,4.83
121,22.4,kitchen cabinet painting company,/services/kitchen-cabinet-painting/,service page,Kitchen Cabinet Painting,Kitchen,,no,210,24,3.63
122,22.3,general contractor oakville,/services/general-contractor-oakville/,new service+city page,General Contractor,Whole Home,Oakville,yes,140,21,4.93
123,21.7,deck builder milton,/services/deck-builder-milton/,new service+city page,Deck Builder,Decks,Milton,yes,90,9,4.59
124,21.5,hardwood floor installation toronto,/services/hardwood-floor-installation/,service page,Hardwood Floor Installation,Flooring,,yes,170,23,4.18
125,21.4,flooring installation scarborough,/services/flooring-installation-scarborough/,new service+city page,Flooring Installation,Flooring,Scarborough,yes,90,12,5.22
126,20.4,laundry room renovation contractors,/services/laundry-room-renovation/,service page,Laundry Room Renovation,Specialty Rooms,,no,140,5,2.19
127,19.3,deck builder scarborough,/services/deck-builder-scarborough/,new service+city page,Deck Builder,Decks,Scarborough,yes,70,9,5.25
128,19.0,bathroom demolition near me,/services/bathroom-demolition/,service page,Bathroom Demolition,Demolition & Prep,,no,70,6,4.34
129,17.3,light fixture installation near me,/services/light-fixture-installation/,service page,Light Fixture Installation,Electrical,,no,70,7,4.21
130,17.1,deck replacement,/services/deck-replacement/,service page,Deck Replacement,Decks,,no,140,15,3.06
131,17.0,kitchen renovation aurora,/services/kitchen-renovation-aurora/,new service+city page,Kitchen Renovation,Kitchen,Aurora,yes,90,5,2.83
132,16.4,kitchen renovation ajax,/services/kitchen-renovation-ajax/,new service+city page,Kitchen Renovation,Kitchen,Ajax,yes,70,10,4.69
133,14.9,kitchen remodeling scarborough,/services/kitchen-remodeling-scarborough/,new service+city page,Kitchen Remodeling,Kitchen,Scarborough,yes,90,8,2.98
134,13.5,deck builder burlington,/services/deck-builder-burlington/,new service+city page,Deck Builder,Decks,Burlington,yes,50,8,4.87
135,12.2,custom kitchen cabinets oshawa,/services/custom-kitchen-cabinets-oshawa/,new service+city page,Custom Kitchen Cabinets,Kitchen,Oshawa,yes,70,18,4.88
136,12.1,garage conversion,/services/garage-conversion/,service page,Garage Conversion,Whole Home,,no,140,19,2.50
137,8.9,flooring installation oshawa,/services/flooring-installation-oshawa/,new service+city page,Flooring Installation,Flooring,Oshawa,yes,50,12,3.90
138,8.7,toronto flooring installation,/services/flooring-installation-toronto/,new service+city page,Flooring Installation,Flooring,Toronto,yes,70,22,3.99
139,8.5,home renovation contractors brampton,/services/home-renovation-brampton/,new service+city page,Home Renovation,Whole Home,Brampton,yes,70,20,3.64
140,7.8,storm door installation near me,/services/storm-door-installation/,service page,Storm Door Installation,Doors,,no,90,29,3.38
141,4.5,hardwood floor installation oakville,/services/hardwood-floor-installation-oakville/,new service+city page,Hardwood Floor Installation,Flooring,Oakville,yes,70,7,1.09
142,4.2,kitchen cabinet installation company,/services/kitchen-cabinet-installation/,service page,Kitchen Cabinet Installation,Kitchen,,no,50,17,2.28
143,0.0,open concept renovation,/services/open-concept-renovation/,service page,Open Concept Renovation,Whole Home,,no,90,14,0.00
144,0.0,home additions markham,/services/home-addition-markham/,new service+city page,Home Addition,Whole Home,Markham,yes,210,7,0.00
